Index,Project Name,Version,Release ID,Release Date
1,SYNCOPE,1.0.0-incubating,12320044,2012-08-06
2,SYNCOPE,1.0.1-incubating,12322540,2012-08-29
3,SYNCOPE,1.0.3-incubating,12323346,2012-09-30
4,SYNCOPE,1.0.2-incubating,12323254,2012-10-02
5,SYNCOPE,1.0.4,12323474,2012-12-10
6,SYNCOPE,1.0.5,12323749,2013-01-23
7,SYNCOPE,1.0.6,12324001,2013-02-27
8,SYNCOPE,1.0.7,12324104,2013-03-26
9,SYNCOPE,1.1.0,12322504,2013-04-05
10,SYNCOPE,1.0.8,12324279,2013-04-18
11,SYNCOPE,1.1.1,12324290,2013-04-29
12,SYNCOPE,1.1.2,12324382,2013-06-11
13,SYNCOPE,1.1.3,12324604,2013-07-12
14,SYNCOPE,1.1.4,12324763,2013-09-27
15,SYNCOPE,1.1.5,12325150,2013-11-28
16,SYNCOPE,1.1.6,12325662,2014-02-22
17,SYNCOPE,1.0.9,12324337,2014-04-11
18,SYNCOPE,1.1.8,12326735,2014-07-03
19,SYNCOPE,1.2.0,12328548,2014-10-03
20,SYNCOPE,1.2.1,12328766,2014-11-17
21,SYNCOPE,1.2.2,12329017,2015-01-30
22,SYNCOPE,1.2.3,12329368,2015-03-20
23,SYNCOPE,1.2.4,12329742,2015-05-05
