Variable,MeanA,MeanB_plus,MeanB,MeanC,CorrNSmells,CorrDefectiveness
LOC,126.89,213.99,213.99,91.25,0.40*,0.26*
numRevisions,1.02,1.60,1.60,0.79,0.08*,0.06*
numRevisionsFromBegin,6.67,10.85,10.85,4.96,0.23*,0.19*
numFixes,0.28,0.47,0.47,0.21,0.12*,0.14*
numFixesFromBegin,2.63,4.49,4.49,1.87,0.22*,0.17*
numAuthors,0.49,0.67,0.67,0.41,0.10*,0.11*
numAuthorsFromBegin,2.31,3.22,3.22,1.94,0.22*,0.19*
churn,43.05,79.97,79.97,27.94,0.08*,0.04*
churnFromBegin,293.21,525.49,525.49,198.18,0.31*,0.21*
maxLOCAdded,20.56,34.79,34.79,14.74,0.11*,0.06*
maxLOCAddedFromBegin,112.79,198.20,198.20,77.85,0.37*,0.27*
avgLOCAdded,12.31,18.71,18.71,9.69,0.08*,0.06*
avgLOCAddedFromBegin,71.89,116.81,116.81,53.52,0.35*,0.17*
avgChangeSet,192.28,192.51,192.51,192.19,-0.01,-0.03*
avgChangeSetFromBegin,995.37,1029.03,1029.03,981.60,-0.00,-0.06*
maxChangeSet,276.23,302.41,302.41,265.52,0.01,-0.02*
maxChangeSetFromBegin,1242.72,1349.53,1349.53,1199.03,0.04*,0.01
age,184.35,184.54,184.54,184.27,-0.00,-0.08*
weightedAge,61.94,78.93,78.93,55.00,0.08*,0.08*
numOps,6.33,7.21,7.21,5.96,0.06*,0.14*
avgTimeBetweenCommits,0.29,0.34,0.34,0.27,0.03*,0.04*
numSmells,1.08,3.73,0.00,0.00,-,0.10*
